Dice Combination,Tag A,Tag B,Tag C,Tag D,Total Base,Final Score,Final Multiplier
"1-1-2-3-8-8-8-8","四同","三連順","順碰交響曲","無",39.00,1404.00,36.00
"1-1-2-4-4-4-4-4","五同","無","小葫蘆","無",24.00,504.00,21.00
"1-1-2-4-4-4-4-5","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-2-4-4-4-4-6","四同","無","小葫蘆","無",26.00,409.50,15.75
"1-1-2-4-4-4-4-7","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-2-4-4-4-4-8","四同","無","小葫蘆","無",28.00,441.00,15.75
"1-1-2-4-4-4-5-5","三同","無","小葫蘆","無",26.00,227.50,8.75
"1-1-2-4-4-4-5-6","三同","三連順","小葫蘆","無",27.00,472.50,17.50
"1-1-2-4-4-4-5-7","三同","無","小葫蘆","無",28.00,245.00,8.75
"1-1-2-4-4-4-5-8","三同","無","小葫蘆","無",29.00,253.75,8.75
"1-1-2-4-4-4-6-6","三同","無","小葫蘆","無",28.00,245.00,8.75
"1-1-2-4-4-4-6-7","三同","無","小葫蘆","無",29.00,253.75,8.75
"1-1-2-4-4-4-6-8","三同","無","小葫蘆","無",30.00,262.50,8.75
"1-1-2-4-4-4-7-7","三同","無","小葫蘆","無",30.00,262.50,8.75
"1-1-2-4-4-4-7-8","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-2-4-4-4-8-8","三同","無","小葫蘆","無",32.00,280.00,8.75
"1-1-2-4-4-5-5-5","三同","無","小葫蘆","無",27.00,236.25,8.75
"1-1-2-4-4-5-5-6","對子","三連順","三對子","無",28.00,252.00,9.00
"1-1-2-4-4-5-5-7","對子","無","三對子","無",29.00,130.50,4.50
"1-1-2-4-4-5-5-8","對子","無","三對子","無",30.00,135.00,4.50
"1-1-2-4-4-5-6-6","對子","三連順","三對子","無",29.00,261.00,9.00
"1-1-2-4-4-5-6-7","對子","四連順","雙對子","無",30.00,225.00,7.50
"1-1-2-4-4-5-6-8","對子","三連順","雙對子","無",31.00,186.00,6.00
"1-1-2-4-4-5-7-7","對子","無","三對子","無",31.00,139.50,4.50
"1-1-2-4-4-5-7-8","對子","無","雙對子","無",32.00,96.00,3.00
"1-1-2-4-4-5-8-8","對子","無","三對子","無",33.00,148.50,4.50
"1-1-2-4-4-6-6-6","三同","無","小葫蘆","無",30.00,262.50,8.75
"1-1-2-4-4-6-6-7","對子","無","三對子","無",31.00,139.50,4.50
"1-1-2-4-4-6-6-8","對子","無","三對子","無",32.00,144.00,4.50
"1-1-2-4-4-6-7-7","對子","無","三對子","無",32.00,144.00,4.50
"1-1-2-4-4-6-7-8","對子","三連順","雙對子","無",33.00,198.00,6.00
"1-1-2-4-4-6-8-8","對子","無","三對子","無",34.00,153.00,4.50
"1-1-2-4-4-7-7-7","三同","無","小葫蘆","無",33.00,288.75,8.75
"1-1-2-4-4-7-7-8","對子","無","三對子","無",34.00,153.00,4.50
"1-1-2-4-4-7-8-8","對子","無","三對子","無",35.00,157.50,4.50
"1-1-2-4-4-8-8-8","三同","無","小葫蘆","無",36.00,315.00,8.75
"1-1-2-4-5-5-5-5","四同","無","小葫蘆","無",28.00,441.00,15.75
"1-1-2-4-5-5-5-6","三同","三連順","小葫蘆","無",29.00,507.50,17.50
"1-1-2-4-5-5-5-7","三同","無","小葫蘆","無",30.00,262.50,8.75
"1-1-2-4-5-5-5-8","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-2-4-5-5-6-6","對子","三連順","三對子","無",30.00,270.00,9.00
"1-1-2-4-5-5-6-7","對子","四連順","雙對子","無",31.00,232.50,7.50
"1-1-2-4-5-5-6-8","對子","三連順","雙對子","無",32.00,192.00,6.00
"1-1-2-4-5-5-7-7","對子","無","三對子","無",32.00,144.00,4.50
"1-1-2-4-5-5-7-8","對子","無","雙對子","無",33.00,99.00,3.00
"1-1-2-4-5-5-8-8","對子","無","三對子","無",34.00,153.00,4.50
"1-1-2-4-5-6-6-6","三同","三連順","小葫蘆","無",31.00,542.50,17.50
"1-1-2-4-5-6-6-7","對子","四連順","雙對子","無",32.00,240.00,7.50
"1-1-2-4-5-6-6-8","對子","三連順","雙對子","無",33.00,198.00,6.00
"1-1-2-4-5-6-7-7","對子","四連順","雙對子","無",33.00,247.50,7.50
"1-1-2-4-5-6-7-8","對子","五連順","無","無",34.00,178.50,5.25
"1-1-2-4-5-6-8-8","對子","三連順","雙對子","無",35.00,210.00,6.00
"1-1-2-4-5-7-7-7","三同","無","小葫蘆","無",34.00,297.50,8.75
"1-1-2-4-5-7-7-8","對子","無","雙對子","無",35.00,105.00,3.00
"1-1-2-4-5-7-8-8","對子","無","雙對子","無",36.00,108.00,3.00
"1-1-2-4-5-8-8-8","三同","無","小葫蘆","無",37.00,323.75,8.75
"1-1-2-4-6-6-6-6","四同","無","小葫蘆","無",32.00,504.00,15.75
"1-1-2-4-6-6-6-7","三同","無","小葫蘆","無",33.00,288.75,8.75
"1-1-2-4-6-6-6-8","三同","無","小葫蘆","無",34.00,297.50,8.75
"1-1-2-4-6-6-7-7","對子","無","三對子","無",34.00,153.00,4.50
"1-1-2-4-6-6-7-8","對子","三連順","雙對子","無",35.00,210.00,6.00
"1-1-2-4-6-6-8-8","對子","無","三對子","無",36.00,162.00,4.50
"1-1-2-4-6-7-7-7","三同","無","小葫蘆","無",35.00,306.25,8.75
"1-1-2-4-6-7-7-8","對子","三連順","雙對子","無",36.00,216.00,6.00
"1-1-2-4-6-7-8-8","對子","三連順","雙對子","無",37.00,222.00,6.00
"1-1-2-4-6-8-8-8","三同","無","小葫蘆","無",38.00,332.50,8.75
"1-1-2-4-7-7-7-7","四同","無","小葫蘆","無",36.00,567.00,15.75
"1-1-2-4-7-7-7-8","三同","無","小葫蘆","無",37.00,323.75,8.75
"1-1-2-4-7-7-8-8","對子","無","三對子","無",38.00,171.00,4.50
"1-1-2-4-7-8-8-8","三同","無","小葫蘆","無",39.00,341.25,8.75
"1-1-2-4-8-8-8-8","四同","無","小葫蘆","無",40.00,630.00,15.75
"1-1-2-5-5-5-5-5","五同","無","小葫蘆","無",29.00,609.00,21.00
"1-1-2-5-5-5-5-6","四同","無","小葫蘆","無",30.00,472.50,15.75
"1-1-2-5-5-5-5-7","四同","無","小葫蘆","無",31.00,488.25,15.75
"1-1-2-5-5-5-5-8","四同","無","小葫蘆","無",32.00,504.00,15.75
"1-1-2-5-5-5-6-6","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-2-5-5-5-6-7","三同","三連順","小葫蘆","無",32.00,560.00,17.50
"1-1-2-5-5-5-6-8","三同","無","小葫蘆","無",33.00,288.75,8.75
"1-1-2-5-5-5-7-7","三同","無","小葫蘆","無",33.00,288.75,8.75
"1-1-2-5-5-5-7-8","三同","無","小葫蘆","無",34.00,297.50,8.75
"1-1-2-5-5-5-8-8","三同","無","小葫蘆","無",35.00,306.25,8.75
"1-1-2-5-5-6-6-6","三同","無","小葫蘆","無",32.00,280.00,8.75
"1-1-2-5-5-6-6-7","對子","三連順","三對子","無",33.00,297.00,9.00
"1-1-2-5-5-6-6-8","對子","無","三對子","無",34.00,153.00,4.50
"1-1-2-5-5-6-7-7","對子","三連順","三對子","無",34.00,306.00,9.00
"1-1-2-5-5-6-7-8","對子","四連順","雙對子","無",35.00,262.50,7.50
"1-1-2-5-5-6-8-8","對子","無","三對子","無",36.00,162.00,4.50
"1-1-2-5-5-7-7-7","三同","無","小葫蘆","無",35.00,306.25,8.75
"1-1-2-5-5-7-7-8","對子","無","三對子","無",36.00,162.00,4.50
"1-1-2-5-5-7-8-8","對子","無","三對子","無",37.00,166.50,4.50
"1-1-2-5-5-8-8-8","三同","無","小葫蘆","無",38.00,332.50,8.75
"1-1-2-5-6-6-6-6","四同","無","小葫蘆","無",33.00,519.75,15.75
"1-1-2-5-6-6-6-7","三同","三連順","小葫蘆","無",34.00,595.00,17.50
"1-1-2-5-6-6-6-8","三同","無","小葫蘆","無",35.00,306.25,8.75
"1-1-2-5-6-6-7-7","對子","三連順","三對子","無",35.00,315.00,9.00
"1-1-2-5-6-6-7-8","對子","四連順","雙對子","無",36.00,270.00,7.50
"1-1-2-5-6-6-8-8","對子","無","三對子","無",37.00,166.50,4.50
"1-1-2-5-6-7-7-7","三同","三連順","小葫蘆","無",36.00,630.00,17.50
"1-1-2-5-6-7-7-8","對子","四連順","雙對子","無",37.00,277.50,7.50
"1-1-2-5-6-7-8-8","對子","四連順","雙對子","無",38.00,285.00,7.50
"1-1-2-5-6-8-8-8","三同","無","小葫蘆","無",39.00,341.25,8.75
"1-1-2-5-7-7-7-7","四同","無","小葫蘆","無",37.00,582.75,15.75
"1-1-2-5-7-7-7-8","三同","無","小葫蘆","無",38.00,332.50,8.75
"1-1-2-5-7-7-8-8","對子","無","三對子","無",39.00,175.50,4.50
"1-1-2-5-7-8-8-8","三同","無","小葫蘆","無",40.00,350.00,8.75
"1-1-2-5-8-8-8-8","四同","無","小葫蘆","無",41.00,645.75,15.75
"1-1-2-6-6-6-6-6","五同","無","小葫蘆","無",34.00,714.00,21.00
"1-1-2-6-6-6-6-7","四同","無","小葫蘆","無",35.00,551.25,15.75
"1-1-2-6-6-6-6-8","四同","無","小葫蘆","無",36.00,567.00,15.75
"1-1-2-6-6-6-7-7","三同","無","小葫蘆","無",36.00,315.00,8.75
"1-1-2-6-6-6-7-8","三同","三連順","小葫蘆","無",37.00,647.50,17.50
"1-1-2-6-6-6-8-8","三同","無","小葫蘆","無",38.00,332.50,8.75
"1-1-2-6-6-7-7-7","三同","無","小葫蘆","無",37.00,323.75,8.75
"1-1-2-6-6-7-7-8","對子","三連順","三對子","無",38.00,342.00,9.00
"1-1-2-6-6-7-8-8","對子","三連順","三對子","無",39.00,351.00,9.00
"1-1-2-6-6-8-8-8","三同","無","小葫蘆","無",40.00,350.00,8.75
"1-1-2-6-7-7-7-7","四同","無","小葫蘆","無",38.00,598.50,15.75
"1-1-2-6-7-7-7-8","三同","三連順","小葫蘆","無",39.00,682.50,17.50
"1-1-2-6-7-7-8-8","對子","三連順","三對子","無",40.00,360.00,9.00
"1-1-2-6-7-8-8-8","三同","三連順","小葫蘆","無",41.00,717.50,17.50
"1-1-2-6-8-8-8-8","四同","無","小葫蘆","無",42.00,661.50,15.75
"1-1-2-7-7-7-7-7","五同","無","小葫蘆","無",39.00,819.00,21.00
"1-1-2-7-7-7-7-8","四同","無","小葫蘆","無",40.00,630.00,15.75
"1-1-2-7-7-7-8-8","三同","無","小葫蘆","無",41.00,358.75,8.75
"1-1-2-7-7-8-8-8","三同","無","小葫蘆","無",42.00,367.50,8.75
"1-1-2-7-8-8-8-8","四同","無","小葫蘆","無",43.00,677.25,15.75
"1-1-2-8-8-8-8-8","五同","無","小葫蘆","無",44.00,924.00,21.00
"1-1-3-3-3-3-3-3","六同","無","豪華四對子","絕對秩序",20.00,28800.00,1440.00
"1-1-3-3-3-3-3-4","五同","無","小葫蘆","無",21.00,441.00,21.00
"1-1-3-3-3-3-3-5","五同","無","小葫蘆","絕對秩序",22.00,3696.00,168.00
"1-1-3-3-3-3-3-6","五同","無","小葫蘆","無",23.00,483.00,21.00
"1-1-3-3-3-3-3-7","五同","無","小葫蘆","絕對秩序",24.00,4032.00,168.00
"1-1-3-3-3-3-3-8","五同","無","小葫蘆","無",25.00,525.00,21.00
"1-1-3-3-3-3-4-4","四同","無","豪華四對子","無",22.00,1485.00,67.50
"1-1-3-3-3-3-4-5","四同","三連順","順碰交響曲","無",23.00,828.00,36.00
"1-1-3-3-3-3-4-6","四同","無","小葫蘆","無",24.00,378.00,15.75
"1-1-3-3-3-3-4-7","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-3-3-3-3-4-8","四同","無","小葫蘆","無",26.00,409.50,15.75
"1-1-3-3-3-3-5-5","四同","無","豪華四對子","絕對秩序",24.00,12960.00,540.00
"1-1-3-3-3-3-5-6","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-3-3-3-3-5-7","四同","無","小葫蘆","絕對秩序",26.00,3276.00,126.00
"1-1-3-3-3-3-5-8","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-3-3-3-3-6-6","四同","無","豪華四對子","無",26.00,1755.00,67.50
"1-1-3-3-3-3-6-7","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-3-3-3-3-6-8","四同","無","小葫蘆","無",28.00,441.00,15.75
"1-1-3-3-3-3-7-7","四同","無","豪華四對子","絕對秩序",28.00,15120.00,540.00
"1-1-3-3-3-3-7-8","四同","無","小葫蘆","無",29.00,456.75,15.75
"1-1-3-3-3-3-8-8","四同","無","豪華四對子","無",30.00,2025.00,67.50
"1-1-3-3-3-4-4-4","三同","無","碰碰胡","無",23.00,287.50,12.50
"1-1-3-3-3-4-4-5","三同","三連順","小葫蘆","無",24.00,420.00,17.50
"1-1-3-3-3-4-4-6","三同","無","小葫蘆","無",25.00,218.75,8.75
"1-1-3-3-3-4-4-7","三同","無","小葫蘆","無",26.00,227.50,8.75
"1-1-3-3-3-4-4-8","三同","無","小葫蘆","無",27.00,236.25,8.75
"1-1-3-3-3-4-5-5","三同","三連順","小葫蘆","無",25.00,437.50,17.50
"1-1-3-3-3-4-5-6","三同","四連順","順碰交響曲","無",26.00,650.00,25.00
"1-1-3-3-3-4-5-7","三同","三連順","小葫蘆","無",27.00,472.50,17.50
"1-1-3-3-3-4-5-8","三同","三連順","小葫蘆","無",28.00,490.00,17.50
"1-1-3-3-3-4-6-6","三同","無","小葫蘆","無",27.00,236.25,8.75
"1-1-3-3-3-4-6-7","三同","無","小葫蘆","無",28.00,245.00,8.75
"1-1-3-3-3-4-6-8","三同","無","小葫蘆","無",29.00,253.75,8.75
"1-1-3-3-3-4-7-7","三同","無","小葫蘆","無",29.00,253.75,8.75
"1-1-3-3-3-4-7-8","三同","無","小葫蘆","無",30.00,262.50,8.75
"1-1-3-3-3-4-8-8","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-3-3-3-5-5-5","三同","無","碰碰胡","絕對秩序",26.00,2600.00,100.00
"1-1-3-3-3-5-5-6","三同","無","小葫蘆","無",27.00,236.25,8.75
"1-1-3-3-3-5-5-7","三同","無","小葫蘆","絕對秩序",28.00,1960.00,70.00
"1-1-3-3-3-5-5-8","三同","無","小葫蘆","無",29.00,253.75,8.75
"1-1-3-3-3-5-6-6","三同","無","小葫蘆","無",28.00,245.00,8.75
"1-1-3-3-3-5-6-7","三同","三連順","順碰交響曲","無",29.00,580.00,20.00
"1-1-3-3-3-5-6-8","三同","無","小葫蘆","無",30.00,262.50,8.75
"1-1-3-3-3-5-7-7","三同","無","小葫蘆","絕對秩序",30.00,2100.00,70.00
"1-1-3-3-3-5-7-8","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-3-3-3-5-8-8","三同","無","小葫蘆","無",32.00,280.00,8.75
"1-1-3-3-3-6-6-6","三同","無","碰碰胡","無",29.00,362.50,12.50
"1-1-3-3-3-6-6-7","三同","無","小葫蘆","無",30.00,262.50,8.75
"1-1-3-3-3-6-6-8","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-3-3-3-6-7-7","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-3-3-3-6-7-8","三同","三連順","順碰交響曲","無",32.00,640.00,20.00
"1-1-3-3-3-6-8-8","三同","無","小葫蘆","無",33.00,288.75,8.75
"1-1-3-3-3-7-7-7","三同","無","碰碰胡","絕對秩序",32.00,3200.00,100.00
"1-1-3-3-3-7-7-8","三同","無","小葫蘆","無",33.00,288.75,8.75
"1-1-3-3-3-7-8-8","三同","無","小葫蘆","無",34.00,297.50,8.75
"1-1-3-3-3-8-8-8","三同","無","碰碰胡","無",35.00,437.50,12.50
"1-1-3-3-4-4-4-4","四同","無","豪華四對子","無",24.00,1620.00,67.50
"1-1-3-3-4-4-4-5","三同","三連順","小葫蘆","無",25.00,437.50,17.50
"1-1-3-3-4-4-4-6","三同","無","小葫蘆","無",26.00,227.50,8.75
"1-1-3-3-4-4-4-7","三同","無","小葫蘆","無",27.00,236.25,8.75
"1-1-3-3-4-4-4-8","三同","無","小葫蘆","無",28.00,245.00,8.75
"1-1-3-3-4-4-5-5","對子","雙三連順","經典四對子","無",26.00,1170.00,45.00
"1-1-3-3-4-4-5-6","對子","四連順","三對子","無",27.00,303.75,11.25
"1-1-3-3-4-4-5-7","對子","三連順","三對子","無",28.00,252.00,9.00
"1-1-3-3-4-4-5-8","對子","三連順","三對子","無",29.00,261.00,9.00
"1-1-3-3-4-4-6-6","對子","無","經典四對子","無",28.00,420.00,15.00
"1-1-3-3-4-4-6-7","對子","無","三對子","無",29.00,130.50,4.50
"1-1-3-3-4-4-6-8","對子","無","三對子","無",30.00,135.00,4.50
"1-1-3-3-4-4-7-7","對子","無","經典四對子","無",30.00,450.00,15.00
"1-1-3-3-4-4-7-8","對子","無","三對子","無",31.00,139.50,4.50
"1-1-3-3-4-4-8-8","對子","無","經典四對子","無",32.00,480.00,15.00
"1-1-3-3-4-5-5-5","三同","三連順","小葫蘆","無",27.00,472.50,17.50
"1-1-3-3-4-5-5-6","對子","四連順","三對子","無",28.00,315.00,11.25
"1-1-3-3-4-5-5-7","對子","三連順","三對子","無",29.00,261.00,9.00
"1-1-3-3-4-5-5-8","對子","三連順","三對子","無",30.00,270.00,9.00
"1-1-3-3-4-5-6-6","對子","四連順","三對子","無",29.00,326.25,11.25
"1-1-3-3-4-5-6-7","對子","五連順","雙對子","無",30.00,315.00,10.50
"1-1-3-3-4-5-6-8","對子","四連順","雙對子","無",31.00,232.50,7.50
"1-1-3-3-4-5-7-7","對子","三連順","三對子","無",31.00,279.00,9.00
"1-1-3-3-4-5-7-8","對子","三連順","雙對子","無",32.00,192.00,6.00
"1-1-3-3-4-5-8-8","對子","三連順","三對子","無",33.00,297.00,9.00
"1-1-3-3-4-6-6-6","三同","無","小葫蘆","無",30.00,262.50,8.75
"1-1-3-3-4-6-6-7","對子","無","三對子","無",31.00,139.50,4.50
"1-1-3-3-4-6-6-8","對子","無","三對子","無",32.00,144.00,4.50
"1-1-3-3-4-6-7-7","對子","無","三對子","無",32.00,144.00,4.50
"1-1-3-3-4-6-7-8","對子","三連順","雙對子","無",33.00,198.00,6.00
"1-1-3-3-4-6-8-8","對子","無","三對子","無",34.00,153.00,4.50
"1-1-3-3-4-7-7-7","三同","無","小葫蘆","無",33.00,288.75,8.75
"1-1-3-3-4-7-7-8","對子","無","三對子","無",34.00,153.00,4.50
"1-1-3-3-4-7-8-8","對子","無","三對子","無",35.00,157.50,4.50
"1-1-3-3-4-8-8-8","三同","無","小葫蘆","無",36.00,315.00,8.75
"1-1-3-3-5-5-5-5","四同","無","豪華四對子","絕對秩序",28.00,15120.00,540.00
"1-1-3-3-5-5-5-6","三同","無","小葫蘆","無",29.00,253.75,8.75
"1-1-3-3-5-5-5-7","三同","無","小葫蘆","絕對秩序",30.00,2100.00,70.00
"1-1-3-3-5-5-5-8","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-3-3-5-5-6-6","對子","無","經典四對子","無",30.00,450.00,15.00
"1-1-3-3-5-5-6-7","對子","三連順","三對子","無",31.00,279.00,9.00
"1-1-3-3-5-5-6-8","對子","無","三對子","無",32.00,144.00,4.50
"1-1-3-3-5-5-7-7","對子","無","經典四對子","絕對秩序",32.00,3840.00,120.00
"1-1-3-3-5-5-7-8","對子","無","三對子","無",33.00,148.50,4.50
"1-1-3-3-5-5-8-8","對子","無","經典四對子","無",34.00,510.00,15.00
"1-1-3-3-5-6-6-6","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-3-3-5-6-6-7","對子","三連順","三對子","無",32.00,288.00,9.00
"1-1-3-3-5-6-6-8","對子","無","三對子","無",33.00,148.50,4.50
"1-1-3-3-5-6-7-7","對子","三連順","三對子","無",33.00,297.00,9.00
"1-1-3-3-5-6-7-8","對子","四連順","雙對子","無",34.00,255.00,7.50
"1-1-3-3-5-6-8-8","對子","無","三對子","無",35.00,157.50,4.50
"1-1-3-3-5-7-7-7","三同","無","小葫蘆","絕對秩序",34.00,2380.00,70.00
"1-1-3-3-5-7-7-8","對子","無","三對子","無",35.00,157.50,4.50
"1-1-3-3-5-7-8-8","對子","無","三對子","無",36.00,162.00,4.50
"1-1-3-3-5-8-8-8","三同","無","小葫蘆","無",37.00,323.75,8.75
"1-1-3-3-6-6-6-6","四同","無","豪華四對子","無",32.00,2160.00,67.50
"1-1-3-3-6-6-6-7","三同","無","小葫蘆","無",33.00,288.75,8.75
"1-1-3-3-6-6-6-8","三同","無","小葫蘆","無",34.00,297.50,8.75
"1-1-3-3-6-6-7-7","對子","無","經典四對子","無",34.00,510.00,15.00
"1-1-3-3-6-6-7-8","對子","三連順","三對子","無",35.00,315.00,9.00
"1-1-3-3-6-6-8-8","對子","無","經典四對子","無",36.00,540.00,15.00
"1-1-3-3-6-7-7-7","三同","無","小葫蘆","無",35.00,306.25,8.75
"1-1-3-3-6-7-7-8","對子","三連順","三對子","無",36.00,324.00,9.00
"1-1-3-3-6-7-8-8","對子","三連順","三對子","無",37.00,333.00,9.00
"1-1-3-3-6-8-8-8","三同","無","小葫蘆","無",38.00,332.50,8.75
"1-1-3-3-7-7-7-7","四同","無","豪華四對子","絕對秩序",36.00,19440.00,540.00
"1-1-3-3-7-7-7-8","三同","無","小葫蘆","無",37.00,323.75,8.75
"1-1-3-3-7-7-8-8","對子","無","經典四對子","無",38.00,570.00,15.00
"1-1-3-3-7-8-8-8","三同","無","小葫蘆","無",39.00,341.25,8.75
"1-1-3-3-8-8-8-8","四同","無","豪華四對子","無",40.00,2700.00,67.50
"1-1-3-4-4-4-4-4","五同","無","小葫蘆","無",25.00,525.00,21.00
"1-1-3-4-4-4-4-5","四同","三連順","順碰交響曲","無",26.00,936.00,36.00
"1-1-3-4-4-4-4-6","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-3-4-4-4-4-7","四同","無","小葫蘆","無",28.00,441.00,15.75
"1-1-3-4-4-4-4-8","四同","無","小葫蘆","無",29.00,456.75,15.75
"1-1-3-4-4-4-5-5","三同","三連順","小葫蘆","無",27.00,472.50,17.50
"1-1-3-4-4-4-5-6","三同","四連順","小葫蘆","無",28.00,612.50,21.88
"1-1-3-4-4-4-5-7","三同","三連順","小葫蘆","無",29.00,507.50,17.50
"1-1-3-4-4-4-5-8","三同","三連順","小葫蘆","無",30.00,525.00,17.50
"1-1-3-4-4-4-6-6","三同","無","小葫蘆","無",29.00,253.75,8.75
"1-1-3-4-4-4-6-7","三同","無","小葫蘆","無",30.00,262.50,8.75
"1-1-3-4-4-4-6-8","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-3-4-4-4-7-7","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-3-4-4-4-7-8","三同","無","小葫蘆","無",32.00,280.00,8.75
"1-1-3-4-4-4-8-8","三同","無","小葫蘆","無",33.00,288.75,8.75
"1-1-3-4-4-5-5-5","三同","三連順","小葫蘆","無",28.00,490.00,17.50
"1-1-3-4-4-5-5-6","對子","雙三連順","平胡","無",29.00,783.00,27.00
"1-1-3-4-4-5-5-7","對子","三連順","三對子","無",30.00,270.00,9.00
"1-1-3-4-4-5-5-8","對子","三連順","三對子","無",31.00,279.00,9.00
"1-1-3-4-4-5-6-6","對子","四連順","三對子","無",30.00,337.50,11.25
"1-1-3-4-4-5-6-7","對子","五連順","雙對子","無",31.00,325.50,10.50
"1-1-3-4-4-5-6-8","對子","四連順","雙對子","無",32.00,240.00,7.50
"1-1-3-4-4-5-7-7","對子","三連順","三對子","無",32.00,288.00,9.00
"1-1-3-4-4-5-7-8","對子","三連順","雙對子","無",33.00,198.00,6.00
"1-1-3-4-4-5-8-8","對子","三連順","三對子","無",34.00,306.00,9.00
"1-1-3-4-4-6-6-6","三同","無","小葫蘆","無",31.00,271.25,8.75
"1-1-3-4-4-6-6-7","對子","無","三對子","無",32.00,144.00,4.50
"1-1-3-4-4-6-6-8","對子","無","三對子","無",33.00,148.50,4.50
"1-1-3-4-4-6-7-7","對子","無","三對子","無",33.00,148.50,4.50
"1-1-3-4-4-6-7-8","對子","三連順","雙對子","無",34.00,204.00,6.00
"1-1-3-4-4-6-8-8","對子","無","三對子","無",35.00,157.50,4.50
"1-1-3-4-4-7-7-7","三同","無","小葫蘆","無",34.00,297.50,8.75
"1-1-3-4-4-7-7-8","對子","無","三對子","無",35.00,157.50,4.50
"1-1-3-4-4-7-8-8","對子","無","三對子","無",36.00,162.00,4.50
"1-1-3-4-4-8-8-8","三同","無","小葫蘆","無",37.00,323.75,8.75
"1-1-3-4-5-5-5-5","四同","三連順","順碰交響曲","無",29.00,1044.00,36.00
"1-1-3-4-5-5-5-6","三同","四連順","小葫蘆","無",30.00,656.25,21.88
"1-1-3-4-5-5-5-7","三同","三連順","小葫蘆","無",31.00,542.50,17.50
"1-1-3-4-5-5-5-8","三同","三連順","小葫蘆","無",32.00,560.00,17.50
"1-1-3-4-5-5-6-6","對子","四連順","三對子","無",31.00,348.75,11.25
"1-1-3-4-5-5-6-7","對子","五連順","平胡","無",32.00,1008.00,31.50
"1-1-3-4-5-5-6-8","對子","四連順","雙對子","無",33.00,247.50,7.50
"1-1-3-4-5-5-7-7","對子","三連順","三對子","無",33.00,297.00,9.00
"1-1-3-4-5-5-7-8","對子","三連順","雙對子","無",34.00,204.00,6.00
"1-1-3-4-5-5-8-8","對子","三連順","三對子","無",35.00,315.00,9.00
"1-1-3-4-5-6-6-6","三同","四連順","順碰交響曲","無",32.00,800.00,25.00
"1-1-3-4-5-6-6-7","對子","五連順","雙對子","無",33.00,346.50,10.50
"1-1-3-4-5-6-6-8","對子","四連順","雙對子","無",34.00,255.00,7.50
"1-1-3-4-5-6-7-7","對子","五連順","雙對子","無",34.00,357.00,10.50
"1-1-3-4-5-6-7-8","對子","六連順","平胡","無",35.00,1890.00,54.00
"1-1-3-4-5-6-8-8","對子","四連順","雙對子","無",36.00,270.00,7.50
"1-1-3-4-5-7-7-7","三同","三連順","順碰交響曲","無",35.00,700.00,20.00
"1-1-3-4-5-7-7-8","對子","三連順","雙對子","無",36.00,216.00,6.00
"1-1-3-4-5-7-8-8","對子","三連順","雙對子","無",37.00,222.00,6.00
"1-1-3-4-5-8-8-8","三同","三連順","順碰交響曲","無",38.00,760.00,20.00
"1-1-3-4-6-6-6-6","四同","無","小葫蘆","無",33.00,519.75,15.75
"1-1-3-4-6-6-6-7","三同","無","小葫蘆","無",34.00,297.50,8.75
"1-1-3-4-6-6-6-8","三同","無","小葫蘆","無",35.00,306.25,8.75
"1-1-3-4-6-6-7-7","對子","無","三對子","無",35.00,157.50,4.50
"1-1-3-4-6-6-7-8","對子","三連順","雙對子","無",36.00,216.00,6.00
"1-1-3-4-6-6-8-8","對子","無","三對子","無",37.00,166.50,4.50
"1-1-3-4-6-7-7-7","三同","無","小葫蘆","無",36.00,315.00,8.75
"1-1-3-4-6-7-7-8","對子","三連順","雙對子","無",37.00,222.00,6.00
"1-1-3-4-6-7-8-8","對子","三連順","雙對子","無",38.00,228.00,6.00
"1-1-3-4-6-8-8-8","三同","無","小葫蘆","無",39.00,341.25,8.75
"1-1-3-4-7-7-7-7","四同","無","小葫蘆","無",37.00,582.75,15.75
"1-1-3-4-7-7-7-8","三同","無","小葫蘆","無",38.00,332.50,8.75
"1-1-3-4-7-7-8-8","對子","無","三對子","無",39.00,175.50,4.50
"1-1-3-4-7-8-8-8","三同","無","小葫蘆","無",40.00,350.00,8.75
"1-1-3-4-8-8-8-8","四同","無","小葫蘆","無",41.00,645.75,15.75
"1-1-3-5-5-5-5-5","五同","無","小葫蘆","絕對秩序",30.00,5040.00,168.00
